id,parent_id/id,code,name,user_type_id/id,reconcile,company_ids/id,chart_template_id/id
ka6014U60,ka421260U00,6014.U60,Kerja Sama Penggunaan Lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U61,ka421260U00,6014.U61,Pembelian dan pembebanan Bibit,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U62,ka421260U00,6014.U62,Kebutuhan pupuk,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U63,ka421260U00,6014.U63,Pengolahan lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U70,ka421260U00,6014.U70,Tebang & angkut,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U94,ka421260U00,6014.U94,Penjualan bibit k/petani TR,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U95,ka421260U00,6014.U95,Pemakaian bibit/penangkaran,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6014U96,ka421260U00,6014.U96,Bibit digiling (onderenden),account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421270U00,ka421200U00,421270.U00,TGTS,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U60,ka421270U00,6009.U60,Kerja Sama Penggunaan Lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U61,ka421270U00,6009.U61,Pembelian dan pembebanan Bibit,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U62,ka421270U00,6009.U62,Kebutuhan pupuk,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U63,ka421270U00,6009.U63,Pengolahan lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U70,ka421270U00,6009.U70,Tebang & angkut,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U94,ka421270U00,6009.U94,Penjualan bibit k/petani TR,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U95,ka421270U00,6009.U95,Pemakaian bibit/penangkaran,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6009U96,ka421270U00,6009.U96,Tebu digiling (onderenden),account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421300U00,ka421000U00,421300.U00,Stasiun Tanaman - TR,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421310U00,ka421300U00,421310.U00,Tebu MBS,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U01,ka421310U00,6005.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U02,ka421310U00,6005.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U03,ka421310U00,6005.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U04,ka421310U00,6005.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U05,ka421310U00,6005.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U43,ka421310U00,6005.U43,Bahan bakar LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U45,ka421310U00,6005.U45,Pelumas LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U59,ka421310U00,6005.U59,Perbaikan/pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
